# tool	basis (prompt|sentry|both)
alpaca_paper_list_orders	spec:hk657-readonly-order-history
analysis_artifact_get	both
analysis_artifact_save	both
analyze_stock_batch	both
discover_buy_candidates_fanout	prompt
evaluate_buy_gate_ab_shadow	prompt
evaluate_buy_gate_ab_shadow_v2	prompt
forecast_save	both
get_forecast_calibration	spec:hk657-readonly-forecast
get_forecasts	spec:hk657-readonly-forecast
get_fx_rate	both
get_holdings	both
get_indicators	both
get_intraday_investor_flow	both
get_krx_session_health	both
get_market_index	both
get_mock_loop_retrospective	spec:hk657-readonly-retrospective
get_news	both
get_operating_briefing	both
get_order_history	spec:hk657-readonly-order-history
get_quote	both
get_retrospective_aggregate	spec:hk657-readonly-retrospective
get_spike_attribution	both
get_support_resistance	both
get_top_stocks	both
get_trade_journal	spec:hk657-readonly-journal
get_trade_retrospectives	spec:hk657-readonly-retrospective
get_trading_policy	both
kis_live_get_order_history	spec:hk657-readonly-order-history
kis_mock_get_order_history	spec:hk657-readonly-order-history
kiwoom_mock_get_order_history	spec:hk657-readonly-order-history
kiwoom_mock_us_get_order_history	spec:hk657-readonly-order-history
route_request	both
screen_stocks	both
screen_stocks_enrich	prompt
screen_stocks_snapshot	both
session_context_append	both
session_context_get_recent	both
session_bootstrap_pack	spec:mcp-session-tools-v1
suggest_order_account	prompt
toss_get_order_history	spec:hk657-readonly-order-history
toss_get_positions	both
