market,source_id,gate,horizon,dates,mean_excess,null_pctile,null_p05,null_p95,beats_null_95,loses_null_05,block_null_pctile,block_null_p05,block_null_p95,block_source_ci_lo,block_source_ci_hi,block_ci_crosses_zero,beats_null_95_block,loses_null_05_block
crypto,crypto.funding_overheated,none,5,71,0.01396010312012723,1.0,-0.006043124892922208,0.006059927011477187,True,False,0.9905,-0.008410001206315559,0.008710792431494805,-0.0052214204962351286,0.03621236423460298,True,True,False
crypto,crypto.funding_overheated,none,20,56,0.00597985868001174,0.807,-0.011549810086736976,0.011137706915939656,False,False,0.7655,-0.014464767969782976,0.014548566699703452,-0.004452842171018813,0.016250369436201666,True,False,False
crypto,crypto.funding_overheated,rsi45_only,5,71,0.012070967559567491,0.999,-0.006043124892922208,0.006059927011477187,True,False,0.9885,-0.008013101462719177,0.00858411670415554,-0.003855916620944655,0.0314635497476936,True,True,False
crypto,crypto.funding_overheated,rsi45_only,20,56,0.00042819628794546184,0.567,-0.011549810086736976,0.011137706915939656,False,False,0.5435,-0.015421812812173133,0.014958320983020187,-0.022711811161999666,0.017478288308828204,True,False,False
crypto,crypto.funding_squeeze,none,5,71,-0.031518569340080654,0.0,-0.006043124892922208,0.006059927011477187,False,True,0.0,-0.008750098292565407,0.008876621824868662,-0.04828671757946746,-0.015374672598936618,False,False,True
crypto,crypto.funding_squeeze,none,20,56,-0.035786506354582935,0.0,-0.011549810086736976,0.011137706915939656,False,True,0.0,-0.01556187321022491,0.014629904109687073,-0.06445890866181782,-0.010434963874180955,False,False,True
crypto,crypto.funding_squeeze,rsi45_only,5,71,-0.0013283337545348254,0.368,-0.006043124892922208,0.006059927011477187,False,False,0.4125,-0.008437652818266113,0.008490522639293022,-0.017029811452611888,0.016538312281493286,True,False,False
crypto,crypto.funding_squeeze,rsi45_only,20,56,-0.017442978812638014,0.005,-0.011549810086736976,0.011137706915939656,False,True,0.026,-0.015072179502107303,0.015446934283336792,-0.02816179006081511,-0.006520019931130564,False,False,True
crypto,crypto.high_volume,none,5,71,-0.02235695566763597,0.0,-0.006043124892922208,0.006059927011477187,False,True,0.0,-0.008601210237824557,0.008589824758727865,-0.03743386358301028,-0.008065594732630375,False,False,True
crypto,crypto.high_volume,none,20,56,-0.029031150627431175,0.0,-0.011549810086736976,0.011137706915939656,False,True,0.001,-0.014987122241998075,0.014928035723761805,-0.04523288282129246,-0.014830205452091981,False,False,True
crypto,crypto.high_volume,rsi45_only,5,71,2.1042657408197466e-05,0.511,-0.006043124892922208,0.006059927011477187,False,False,0.513,-0.008310620032949578,0.00901959514988623,-0.012235900981441348,0.013882068076890705,True,False,False
crypto,crypto.high_volume,rsi45_only,20,56,-0.010931539014440253,0.058,-0.011549810086736976,0.011137706915939656,False,False,0.1115,-0.014519616744514996,0.014724086716569187,-0.02216360559164966,0.003251996952368923,True,False,False
crypto,crypto.long_short_skew,none,5,71,0.015010247462319905,1.0,-0.006043124892922208,0.006059927011477187,True,False,0.9955,-0.008445616551320555,0.008865421735637292,-0.0014929641047399518,0.03489439922251493,True,True,False
crypto,crypto.long_short_skew,none,20,56,0.02876164950615745,1.0,-0.011549810086736976,0.011137706915939656,True,False,1.0,-0.014491872481693209,0.015114732999080812,0.013760413274984867,0.042912733648909664,False,True,False
crypto,crypto.long_short_skew,rsi45_only,5,71,0.014856503365589791,1.0,-0.006043124892922208,0.006059927011477187,True,False,0.999,-0.008564777445622378,0.00864021921462795,-0.001839290373062095,0.034596245700318634,True,True,False
crypto,crypto.long_short_skew,rsi45_only,20,56,0.018919327099053522,0.996,-0.011549810086736976,0.011137706915939656,True,False,0.9805,-0.01456625642271478,0.01486956856360614,-0.006886684379333415,0.03935101426476269,True,True,False
crypto,crypto.momentum,none,5,71,-0.0301015180030537,0.0,-0.006043124892922208,0.006059927011477187,False,True,0.0,-0.008599522418037572,0.009007590081888792,-0.04182758177699074,-0.018386587700530584,False,False,True
crypto,crypto.momentum,none,20,56,-0.04550360969682644,0.0,-0.011549810086736976,0.011137706915939656,False,True,0.0,-0.015520203454762231,0.01463318842539639,-0.06434161629088882,-0.024101887703019544,False,False,True
crypto,crypto.momentum,rsi45_only,5,71,-0.011532710699377521,0.001,-0.006043124892922208,0.006059927011477187,False,True,0.012,-0.008636500357037169,0.008427416452915308,-0.022756738522680633,-0.001966991277805409,False,False,True
crypto,crypto.momentum,rsi45_only,20,56,-0.03340498804361181,0.0,-0.011549810086736976,0.011137706915939656,False,True,0.0,-0.014453326286046776,0.015314133970668331,-0.04295053213965487,-0.02145128071133021,False,False,True
crypto,crypto.oi_surge,none,5,71,-0.008966960632781275,0.006,-0.006043124892922208,0.006059927011477187,False,True,0.041,-0.008628829601941843,0.008814388017198409,-0.020466245963899198,0.0030505204725181988,True,False,False
crypto,crypto.oi_surge,none,20,56,-0.00399706614052075,0.3035,-0.011549810086736976,0.011137706915939656,False,False,0.341,-0.014960186508058769,0.014537426393203873,-0.026964356728115323,0.02103944956241051,True,False,False
