market,source_id,gate,horizon,window,dates,picks,scored,missing,truncated,censored,delisted_or_gap,n_unc,mean_ret_unc,median_ret_unc,win_rate_unc,mean_excess_unc,excess_t_unc,excess_win_rate_unc,mean_ret,median_ret,win_rate,p10,p90,t_stat,mean_excess,median_excess,excess_win_rate,excess_t,mean_ret_strict,mean_mfe,mean_mae,mean_hl_mfe,mean_hl_mae,mean_pool,mean_gated
crypto,crypto.funding_overheated,none,5,earlier,55,550,549,1,4,0,4,549,-0.00916685823280824,-0.0234375,0.3588342440801457,0.013924426710651208,2.017998131017496,0.5318761384335154,-0.00916685823280824,-0.0234375,0.3588342440801457,-0.11073879547129364,0.0841418196043746,-1.3310840788721783,0.013924426710651208,0.0034756368096536,0.5318761384335154,2.017998131017496,-0.008781561717263494,0.041446227847162675,-0.05358118612352609,,,99.85454545454546,99.85454545454546
crypto,crypto.funding_overheated,none,5,recent,21,210,197,13,46,50,8,159,0.006567513186997126,-0.0042372881355932,0.46540880503144655,0.014495972943564826,1.6767113698301657,0.5471698113207547,0.035418703979876405,0.0124666073018699,0.5583756345177665,-0.08017544901543235,0.20526077097505666,3.6253767000301442,0.012720986371867271,0.0034916076233781,0.5380710659898477,1.4204216875003972,0.00045813754952735196,0.07110107351739309,-0.02610527545735682,,,99.9047619047619,99.9047619047619
crypto,crypto.funding_overheated,none,20,earlier,55,550,549,1,64,0,64,549,-0.08419462264877342,-0.0796296296296296,0.24225865209471767,0.006066894122127851,0.7248435176951484,0.5519125683060109,-0.08419462264877342,-0.0796296296296296,0.24225865209471767,-0.279909472393795,0.0961784368751233,-9.896305806097706,0.006066894122127851,0.014128796430423592,0.5519125683060109,0.7248435176951484,-0.0771743588780498,0.09794963439742356,-0.14777461558180585,,,99.85454545454546,99.85454545454546
crypto,crypto.funding_overheated,none,20,recent,21,210,197,13,192,200,5,10,0.07481429315304514,0.05793495297805635,0.5,-0.006566703014483283,-0.18449805181327614,0.5,0.13060592971803725,0.1360069747166521,0.8020304568527918,-0.07777496018744853,0.3435177636231636,10.554101774721767,0.013179327787980645,0.017453246421780602,0.5583756345177665,1.06608655805021,0.07719004415867116,0.18508550600267898,-0.05274449405940846,,,99.9047619047619,99.9047619047619
crypto,crypto.funding_overheated,rsi45_only,5,earlier,55,550,549,1,5,0,5,549,-0.011509365463695447,-0.0248833592534992,0.32786885245901637,0.011581919479764,1.8066606501382736,0.5009107468123861,-0.011509365463695447,-0.0248833592534992,0.32786885245901637,-0.11874781256076221,0.07824934376380695,-1.7705128965200625,0.011581919479764,0.00023545749332389877,0.5009107468123861,1.8066606501382736,-0.011083013501202695,0.037233507620472915,-0.051381509064802745,,,99.85454545454546,66.69090909090909
crypto,crypto.funding_overheated,rsi45_only,5,recent,21,210,198,12,53,50,15,160,0.007009468340995995,-0.0095454545454545,0.43125,0.01396025847840109,2.1260054972157305,0.5375,0.042122217808301055,0.009511967032854049,0.5353535353535354,-0.07565304796685159,0.21660309903683558,4.695187045228479,0.01878914180786042,0.005115411732011101,0.5454545454545454,2.8706297763325046,-0.005568981525388043,0.06594978013032722,-0.02177955394880088,,,99.9047619047619,61.76190476190476
crypto,crypto.funding_overheated,rsi45_only,20,earlier,55,550,549,1,75,0,75,549,-0.09069214674099889,-0.0840336134453781,0.20765027322404372,-0.00043062997009760264,-0.07309526740302671,0.5336976320582878,-0.09069214674099889,-0.0840336134453781,0.20765027322404372,-0.26027293844367017,0.06557709702274686,-14.543228051611557,-0.00043062997009760264,0.006704959489379103,0.5336976320582878,-0.07309526740302671,-0.08482236588605391,0.08367822085416624,-0.14483649440267576,,,99.85454545454546,66.69090909090909
crypto,crypto.funding_overheated,rsi45_only,20,recent,21,210,198,12,196,200,8,10,0.12347341285801816,0.12319500251130075,0.8,0.042092416690489756,1.103701450380498,0.6,0.17635923686749175,0.17175822735020313,0.9292929292929293,0.03242835595776775,0.35535157722759836,19.156775388772903,0.05877570525370083,0.046340303900354395,0.6666666666666666,6.528452436456038,0.22853890362511048,0.18007643625773842,-0.03724966572210798,,,99.9047619047619,61.76190476190476
crypto,crypto.funding_squeeze,none,5,earlier,55,550,550,0,2,0,2,550,-0.054517222087923846,-0.0595319952014512,0.23272727272727273,-0.03129288762024902,-4.987161397309893,0.30727272727272725,-0.054517222087923846,-0.0595319952014512,0.23272727272727273,-0.19409860724233982,0.04737024221453297,-8.404811726859872,-0.03129288762024902,-0.03033161210803775,0.30727272727272725,-4.987161397309893,-0.054636646724029875,0.02590047035415538,-0.09185334055888976,,,47.90909090909091,47.90909090909091
crypto,crypto.funding_squeeze,none,5,recent,21,209,199,10,43,49,3,159,-0.03977247829815536,-0.0285714285714285,0.3710691823899371,-0.03184401854158766,-3.0569473515741508,0.4339622641509434,-0.001284780061615108,-0.0042613636363637,0.4824120603015075,-0.16582820444206584,0.1898481929388826,-0.11925588417841014,-0.025570467158680048,-0.023166215759475896,0.4221105527638191,-2.77281542218335,-0.041030170523848004,0.047162426455608406,-0.06215258003349467,,,43.11483253588517,43.11483253588517
