market,source_id,gate,horizon,window,dates,mean_ret,median_ret,mean_excess,median_excess,dates_beating_market,excess_t_descriptive
crypto,crypto.funding_overheated,none,5,earlier,55,-0.009274810447553825,-0.02505981785600016,0.013949524020121009,0.011422712123999146,0.5818181818181818,1.8217859113947237
crypto,crypto.funding_overheated,none,5,recent,16,0.007045678638993542,-0.006109964444841565,0.013996468776398636,-0.004152273718920689,0.4375,1.1166374858893007
crypto,crypto.funding_overheated,none,20,earlier,55,-0.08415159881207626,-0.09184004276364152,0.006207977983548015,0.0005404896773788636,0.509090909090909,0.8059000296879782
crypto,crypto.funding_overheated,none,20,recent,1,0.07481429315304514,0.07481429315304514,-0.006566703014483278,-0.006566703014483278,0.0,
crypto,crypto.funding_overheated,rsi45_only,5,earlier,55,-0.01170297881176802,-0.01912462189261107,0.01152135565590681,-1.6913047724706476e-05,0.4909090909090909,1.809116770877634
crypto,crypto.funding_overheated,rsi45_only,5,recent,16,0.007009468340995998,-0.018408550874566602,0.013960258478401091,0.005416238639244949,0.5,1.2840732263621986
crypto,crypto.funding_overheated,rsi45_only,20,earlier,55,-0.09068891178772506,-0.08891292244041041,-0.0003293349921007998,-0.009264789305253377,0.4,-0.04849643972133871
crypto,crypto.funding_overheated,rsi45_only,20,recent,1,0.12347341285801816,0.12347341285801816,0.042092416690489756,0.042092416690489756,1.0,
crypto,crypto.funding_squeeze,none,5,earlier,55,-0.05451722208792385,-0.061676238338171194,-0.03129288762024902,-0.0367830108751407,0.2,-5.5106028031073455
crypto,crypto.funding_squeeze,none,5,recent,16,-0.039245140389407,-0.05027457155963848,-0.032294350252001905,-0.0309486607409234,0.3125,-2.1897920545690988
crypto,crypto.funding_squeeze,none,20,earlier,55,-0.1260226135948669,-0.13786696906794588,-0.035663036799242646,-0.03819278205099682,0.2545454545454545,-4.158674029811126
crypto,crypto.funding_squeeze,none,20,recent,1,0.038803664269229085,0.038803664269229085,-0.04257733189829931,-0.04257733189829931,0.0,
